InvoiceNo,Quantity,InvoiceDate,UnitPrice,Country,Discount,ShippingCost,Category,ShipmentProvider,WarehouseLocation,NetRevenue
605533,1,7/02/2022 20:00,64.9,Norway,0.01,21.37,Apparel,Royal Mail,Rome,64.251
784736,1,9/02/2022 13:00,92.71,Netherlands,0.25,7.94,Electronics,FedEx,Rome,69.5325
701305,1,3/03/2022 05:00,82.61,Spain,0.42,18.95,Stationery,Royal Mail,Rome,47.9138
403374,1,10/03/2022 03:00,60.09,Netherlands,0.13,11.52,Accessories,FedEx,Rome,52.2783
150697,1,31/03/2022 05:00,8.66,Sweden,0.18,24.72,Apparel,FedEx,Rome,7.1012
433296,1,24/05/2022 07:00,96.1,Belgium,0.13,24.97,Stationery,FedEx,Rome,83.607
466991,1,30/05/2022 18:00,10.13,Belgium,0.2,8.16,Stationery,Royal Mail,Rome,8.104
941694,1,4/06/2022 07:00,15.31,Spain,0.17,24.25,Electronics,UPS,Rome,12.7073
956928,1,4/06/2022 13:00,86.47,Australia,0.14,21.72,Accessories,FedEx,Rome,74.3642
387744,1,11/06/2022 01:00,59.8,Norway,0.06,28.8,Stationery,Royal Mail,Rome,56.212
739232,1,3/07/2022 07:00,85.12,United States,0.27,28.02,Accessories,Royal Mail,Rome,62.1376
990728,1,14/07/2022 20:00,76.23,Belgium,0.35,6.02,Accessories,FedEx,Rome,49.5495
166141,1,24/07/2022 16:00,30.32,Norway,0.3,13.77,Accessories,DHL,Rome,21.224
965010,1,21/08/2022 06:00,16.81,United States,0.11,16.29,Electronics,DHL,Rome,14.9609
544946,1,26/08/2022 05:00,42.78,United Kingdom,0.41,10.47,Apparel,DHL,Rome,25.2402
886369,1,27/08/2022 03:00,98.91,Portugal,0.18,16.42,Apparel,DHL,Rome,81.1062
148245,1,30/08/2022 19:00,3.42,France,0.31,29.35,Furniture,UPS,Rome,2.3598
979947,1,2/09/2022 04:00,21.11,United States,0.03,15.14,Furniture,Royal Mail,Rome,20.4767
921729,1,4/09/2022 14:00,92.82,Italy,0.38,5.07,Accessories,FedEx,Rome,57.5484
727601,1,21/09/2022 00:00,36.49,United States,0,8.08,Stationery,UPS,Rome,36.49
721208,1,1/10/2022 10:00,77.06,Germany,0.07,15.61,Stationery,DHL,Rome,71.6658
495198,1,18/10/2022 20:00,24.55,Belgium,0.26,16.28,Apparel,DHL,Rome,18.167
651719,1,25/10/2022 17:00,46.99,France,0,20.33,Furniture,DHL,Rome,46.99
320581,1,17/12/2022 05:00,35.05,Netherlands,0.44,11.9,Furniture,DHL,Rome,19.628
290040,1,23/12/2022 11:00,59.72,Spain,0.34,21.06,Accessories,FedEx,Rome,39.4152
809346,1,5/01/2023 09:00,73.42,France,0.33,25.6,Stationery,Royal Mail,Rome,49.1914
371695,1,21/01/2023 05:00,33.15,Australia,0.48,5.58,Accessories,Royal Mail,Rome,17.238
413807,1,21/01/2023 18:00,3.73,Netherlands,0.13,29.11,Furniture,FedEx,Rome,3.2451
454943,1,2/02/2023 16:00,49.48,Spain,0.15,12.58,Stationery,UPS,Rome,42.058
493769,1,17/02/2023 10:00,29.9,Netherlands,0.12,18.39,Accessories,UPS,Rome,26.312
146371,1,27/02/2023 13:00,18.14,United Kingdom,0.17,12.46,Furniture,FedEx,Rome,15.0562
484758,1,28/02/2023 22:00,68.47,Germany,0.13,24.47,Apparel,UPS,Rome,59.5689
295984,1,7/03/2023 23:00,75.76,United Kingdom,0.38,19.28,Furniture,FedEx,Rome,46.9712
342407,1,25/03/2023 14:00,68.22,United Kingdom,0.36,23.72,Apparel,FedEx,Rome,43.6608
128401,1,10/04/2023 08:00,33.25,United States,0.01,8.17,Electronics,FedEx,Rome,32.9175
258747,1,20/04/2023 05:00,78.86,United Kingdom,0.32,26.71,Furniture,DHL,Rome,53.6248
947694,1,21/05/2023 10:00,85.13,Netherlands,0.04,13.28,Furniture,FedEx,Rome,81.7248
916327,1,13/06/2023 14:00,30.33,Norway,0.2,14.74,Electronics,FedEx,Rome,24.264
769587,1,19/06/2023 22:00,83.55,Germany,0.41,19.21,Furniture,Royal Mail,Rome,49.2945
834330,1,27/06/2023 18:00,62.18,Germany,0.35,8.77,Stationery,FedEx,Rome,40.417
431885,1,16/07/2023 02:00,53.85,Australia,0.44,29.71,Furniture,Royal Mail,Rome,30.156
854723,1,20/07/2023 13:00,98.97,United States,0.12,6.74,Accessories,DHL,Rome,87.0936
762657,1,11/08/2023 14:00,79.75,Spain,0.4,29.77,Accessories,FedEx,Rome,47.85
356108,1,23/08/2023 06:00,23.34,France,0.19,20.4,Furniture,Royal Mail,Rome,18.9054
563566,1,24/08/2023 11:00,16.25,Portugal,0.32,16.5,Electronics,UPS,Rome,11.05
126921,1,4/09/2023 21:00,95.87,Norway,0.43,10.39,Stationery,DHL,Rome,54.6459
535512,1,7/09/2023 05:00,1.16,Germany,0.09,7.13,Electronics,UPS,Rome,1.0556
650998,1,20/09/2023 16:00,93.26,Norway,0.12,29.13,Apparel,UPS,Rome,82.0688
190177,1,28/09/2023 05:00,29.52,Italy,0.06,24,Accessories,UPS,Rome,27.7488
159150,1,6/10/2023 05:00,29.18,Belgium,0.08,23.35,Electronics,UPS,Rome,26.8456
125158,1,11/10/2023 14:00,68.95,United Kingdom,0.33,16.92,Furniture,FedEx,Rome,46.1965
127005,1,14/10/2023 02:00,50.35,Norway,0.08,17.73,Electronics,UPS,Rome,46.322
535235,1,19/10/2023 08:00,56.73,Netherlands,0.28,9.38,Electronics,UPS,Rome,40.8456
205317,1,1/11/2023 02:00,39.75,Norway,0.33,9.61,Accessories,FedEx,Rome,26.6325
351267,1,1/12/2023 04:00,12.81,Netherlands,0.49,12.34,Electronics,UPS,Rome,6.5331
208659,1,5/12/2023 17:00,19.4,United Kingdom,0.05,6.48,Accessories,Royal Mail,Rome,18.43
688236,1,8/12/2023 11:00,92.96,France,0.07,13.94,Stationery,Royal Mail,Rome,86.4528
832275,1,23/12/2023 03:00,95.23,Spain,0.44,5.06,Electronics,DHL,Rome,53.3288
763151,1,4/01/2024 03:00,1.68,United States,0.04,10.46,Accessories,UPS,Rome,1.6128
548929,1,23/02/2024 02:00,11.92,Belgium,0.25,17.27,Stationery,FedEx,Rome,8.94
462981,1,6/03/2024 21:00,67.67,Belgium,0.13,11.13,Stationery,DHL,Rome,58.8729
298942,1,12/03/2024 23:00,44.48,Germany,0.35,25.83,Furniture,Royal Mail,Rome,28.912
908883,1,19/03/2024 17:00,44.59,Norway,0.24,9.76,Accessories,DHL,Rome,33.8884
200924,1,1/04/2024 10:00,53.14,United States,0.11,12.3,Furniture,UPS,Rome,47.2946
640323,1,20/04/2024 20:00,10.38,United Kingdom,0.29,8.03,Stationery,DHL,Rome,7.3698
710780,1,9/05/2024 06:00,87.63,Norway,0.13,8.21,Electronics,Royal Mail,Rome,76.2381
468298,1,12/05/2024 06:00,5.2,Norway,0.23,8.26,Apparel,FedEx,Rome,4.004
580500,1,20/05/2024 04:00,70.35,Belgium,0.03,19.01,Stationery,FedEx,Rome,68.2395
959933,1,23/05/2024 22:00,58.36,France,0.27,16.51,Apparel,UPS,Rome,42.6028
676803,1,2/06/2024 13:00,40.9,Portugal,0.5,6.35,Apparel,UPS,Rome,20.45
472567,1,6/06/2024 03:00,64.27,France,0.36,27.08,Accessories,DHL,Rome,41.1328
732735,1,10/06/2024 04:00,73.99,United Kingdom,0.44,6.1,Electronics,UPS,Rome,41.4344
112818,1,25/06/2024 18:00,35.69,France,0.4,6.66,Apparel,Royal Mail,Rome,21.414
605482,1,17/07/2024 13:00,9.7,United Kingdom,0.37,28.18,Electronics,FedEx,Rome,6.111
552342,1,25/07/2024 11:00,63.78,Italy,0.27,15.59,Stationery,UPS,Rome,46.5594
726263,1,5/08/2024 18:00,75.51,Portugal,0.08,11.86,Electronics,Royal Mail,Rome,69.4692
558291,1,25/08/2024 08:00,42.73,Belgium,0,7.75,Apparel,DHL,Rome,42.73
320708,1,24/09/2024 04:00,16.96,Portugal,0.35,9.94,Electronics,Royal Mail,Rome,11.024
207136,1,16/10/2024 02:00,33.62,Portugal,0.3,20.87,Apparel,UPS,Rome,23.534
357496,1,20/10/2024 13:00,22.87,Netherlands,0.36,6.47,Apparel,FedEx,Rome,14.6368
607854,1,26/10/2024 17:00,67.75,Italy,0.37,18.24,Apparel,DHL,Rome,42.6825
992021,1,1/11/2024 09:00,67.53,Italy,0.29,12.31,Stationery,Royal Mail,Rome,47.9463
315116,1,1/11/2024 19:00,79.35,France,0.25,8.51,Apparel,UPS,Rome,59.5125
243802,1,3/11/2024 22:00,42.16,Italy,0.22,26.12,Apparel,UPS,Rome,32.8848
590823,1,13/11/2024 13:00,92.49,Spain,0.18,29.05,Stationery,Royal Mail,Rome,75.8418
948544,1,14/11/2024 12:00,71.8,Portugal,0.23,19.04,Stationery,FedEx,Rome,55.286
223502,1,1/12/2024 19:00,48.74,Belgium,0.27,20.27,Furniture,DHL,Rome,35.5802
105327,1,31/12/2024 21:00,5.63,Italy,0.26,14.17,Apparel,Royal Mail,Rome,4.1662
653143,1,1/01/2025 05:00,10.52,Germany,0.06,24.69,Accessories,UPS,Rome,9.8888
491685,1,6/01/2025 17:00,73.65,Australia,0.02,5.1,Accessories,DHL,Rome,72.177
676772,1,9/01/2025 08:00,3.09,Norway,0.06,11.34,Furniture,FedEx,Rome,2.9046
492158,1,5/02/2025 16:00,74.21,Italy,0.41,22.48,Apparel,UPS,Rome,43.7839
364278,1,17/02/2025 06:00,49.48,Italy,0.26,14.04,Stationery,DHL,Rome,36.6152
919816,1,8/03/2025 14:00,31.71,Spain,0.02,9.92,Furniture,DHL,Rome,31.0758
784360,1,1/05/2025 03:00,38.07,Sweden,0.18,24.23,Apparel,DHL,Rome,31.2174
966817,1,4/05/2025 12:00,99.07,Australia,0.15,23.88,Apparel,DHL,Rome,84.2095
286234,1,10/05/2025 07:00,38.84,Belgium,0.05,12.31,Electronics,UPS,Rome,36.898
513136,1,15/05/2025 08:00,76.94,Sweden,0.11,17.18,Stationery,FedEx,Rome,68.4766
810588,1,5/06/2025 04:00,73.21,United States,0.25,6.7,Apparel,FedEx,Rome,54.9075
639010,1,11/06/2025 14:00,30.63,United States,0.43,6.49,Apparel,Royal Mail,Rome,17.4591
521854,1,25/06/2025 18:00,5.26,Sweden,0.22,22,Electronics,FedEx,Rome,4.1028
336615,1,14/07/2025 04:00,7.98,Portugal,0.29,24.23,Stationery,Royal Mail,Rome,5.6658
408987,2,14/01/2020 05:00,77.17,Italy,0.39,19.29,Apparel,UPS,Rome,94.1474
506716,2,24/01/2020 02:00,64.79,Netherlands,0.03,21.61,Electronics,FedEx,Rome,125.6926
525695,2,29/01/2020 13:00,59.17,Netherlands,0.13,18.68,Electronics,UPS,Rome,102.9558
369114,2,7/02/2020 23:00,62.76,United States,0.17,23.75,Apparel,Royal Mail,Rome,104.1816
943523,2,9/02/2020 06:00,7.69,Belgium,0.09,29.35,Accessories,DHL,Rome,13.9958
289139,2,19/02/2020 21:00,58.09,Germany,0.17,13.76,Electronics,Royal Mail,Rome,96.4294
468432,2,21/02/2020 13:00,94.46,Italy,0.06,5.2,Accessories,UPS,Rome,177.5848
950916,2,25/02/2020 00:00,84.62,Spain,0.1,5.66,Electronics,FedEx,Rome,152.316
950867,2,25/02/2020 18:00,17.26,Netherlands,0.16,24.52,Electronics,Royal Mail,Rome,28.9968
541759,2,16/03/2020 04:00,19.49,Sweden,0.21,5.84,Accessories,Royal Mail,Rome,30.7942
779181,2,26/03/2020 03:00,95.01,Portugal,0.06,25.15,Furniture,UPS,Rome,178.6188
276037,2,7/04/2020 13:00,22.85,Spain,0.23,6.76,Furniture,UPS,Rome,35.189
516715,2,9/04/2020 04:00,64.67,Australia,0.44,19.36,Furniture,DHL,Rome,72.4304
934800,2,19/04/2020 04:00,83.65,Germany,0.02,13.49,Electronics,UPS,Rome,163.954
760902,2,4/05/2020 00:00,6.13,Italy,0.08,26.61,Apparel,FedEx,Rome,11.2792
259210,2,8/05/2020 05:00,79.49,France,0.27,20.88,Stationery,FedEx,Rome,116.0554
222788,2,24/05/2020 08:00,74.57,Netherlands,0.16,11.88,Apparel,Royal Mail,Rome,125.2776
365888,2,15/06/2020 17:00,39.47,Norway,0.13,8.52,Stationery,UPS,Rome,68.6778
648333,2,29/06/2020 00:00,36.85,United States,0.36,26.43,Electronics,FedEx,Rome,47.168
349243,2,16/07/2020 02:00,6.16,Netherlands,0.11,14.65,Apparel,Royal Mail,Rome,10.9648
832081,2,17/07/2020 00:00,7.54,France,0.31,29.4,Furniture,DHL,Rome,10.4052
687515,2,21/07/2020 04:00,17.3,Germany,0.45,13.67,Furniture,FedEx,Rome,19.03
588535,2,30/07/2020 02:00,24.93,Australia,0.08,28.05,Furniture,FedEx,Rome,45.8712
334864,2,13/08/2020 07:00,41.76,United Kingdom,0.05,7.31,Stationery,FedEx,Rome,79.344
357438,2,1/09/2020 10:00,11.28,Portugal,0.45,25.11,Electronics,FedEx,Rome,12.408
560014,2,6/09/2020 22:00,46.14,Netherlands,0.4,17.09,Apparel,Royal Mail,Rome,55.368
600741,2,6/10/2020 17:00,31.17,Belgium,0.12,12.81,Electronics,UPS,Rome,54.8592
893567,2,17/10/2020 13:00,33.7,Germany,0.01,13.75,Apparel,DHL,Rome,66.726
150519,2,25/10/2020 11:00,34.64,Portugal,0.32,8.1,Stationery,UPS,Rome,47.1104
586084,2,26/10/2020 14:00,39.58,France,0.39,23.81,Apparel,UPS,Rome,48.2876
615584,2,2/11/2020 13:00,19.07,Netherlands,0.43,27.95,Stationery,UPS,Rome,21.7398
742416,2,10/11/2020 19:00,34.04,Portugal,0.33,22.56,Electronics,FedEx,Rome,45.6136
369745,2,24/11/2020 07:00,94.32,Germany,0.5,21.3,Electronics,DHL,Rome,94.32
911795,2,24/11/2020 08:00,99.97,United States,0.05,13.5,Electronics,UPS,Rome,189.943
681042,2,7/12/2020 20:00,88.19,Australia,0.43,6.17,Apparel,FedEx,Rome,100.5366
161868,2,17/12/2020 02:00,78.32,Belgium,0.22,14.56,Stationery,DHL,Rome,122.1792
922564,2,25/12/2020 14:00,49.99,Italy,0.31,11.67,Electronics,UPS,Rome,68.9862
159164,2,2/01/2021 23:00,29.09,United Kingdom,0.19,13.78,Electronics,DHL,Rome,47.1258
151012,2,19/01/2021 16:00,24.15,Spain,0.09,12.25,Electronics,UPS,Rome,43.953
439711,2,2/03/2021 13:00,54.85,France,0.38,8.71,Stationery,DHL,Rome,68.014
564271,2,10/03/2021 15:00,99.5,Italy,0.43,9.59,Electronics,FedEx,Rome,113.43
607553,2,19/03/2021 21:00,47.45,Netherlands,0.23,19.93,Accessories,DHL,Rome,73.073
615971,2,20/03/2021 16:00,36.13,Norway,0.36,14.6,Stationery,DHL,Rome,46.2464
758653,2,25/03/2021 07:00,60.49,Netherlands,0.3,26.72,Furniture,DHL,Rome,84.686
978752,2,15/04/2021 19:00,80.7,Sweden,0.33,21.91,Accessories,FedEx,Rome,108.138
697121,2,3/05/2021 05:00,49.29,Italy,0.12,29.68,Furniture,Royal Mail,Rome,86.7504
392759,2,25/05/2021 13:00,97.69,United Kingdom,0.19,6.99,Stationery,Royal Mail,Rome,158.2578
978835,2,31/05/2021 22:00,35.55,Italy,0.26,26.31,Stationery,UPS,Rome,52.614
607450,2,5/06/2021 13:00,91.57,France,0.14,20.61,Furniture,UPS,Rome,157.5004
612552,2,30/06/2021 16:00,76.83,Norway,0.4,19.41,Accessories,Royal Mail,Rome,92.196
677158,2,17/07/2021 11:00,86.01,Sweden,0.37,22.68,Apparel,UPS,Rome,108.3726
203565,2,21/07/2021 13:00,10.84,Portugal,0.36,28.34,Accessories,UPS,Rome,13.8752
669798,2,3/08/2021 08:00,7.42,France,0.2,27.71,Stationery,Royal Mail,Rome,11.872
179164,2,11/08/2021 15:00,59.38,United States,0.37,5.89,Stationery,DHL,Rome,74.8188
355069,2,18/08/2021 22:00,66.34,Germany,0.12,15.7,Apparel,Royal Mail,Rome,116.7584
230842,2,22/08/2021 22:00,52.83,Australia,0.13,11.65,Stationery,FedEx,Rome,91.9242
437232,2,1/09/2021 11:00,79.55,Portugal,0.28,11.29,Apparel,FedEx,Rome,114.552
464404,2,5/09/2021 16:00,76.16,Australia,0.23,13.64,Electronics,Royal Mail,Rome,117.2864
913215,2,21/09/2021 21:00,35.63,Norway,0.06,7.38,Furniture,DHL,Rome,66.9844
158097,2,10/10/2021 19:00,88.55,Netherlands,0.46,22.07,Apparel,Royal Mail,Rome,95.634
910448,2,18/10/2021 10:00,18.93,Spain,0.09,18.56,Accessories,DHL,Rome,34.4526
965754,2,31/10/2021 07:00,79.47,Sweden,0.13,20.53,Stationery,FedEx,Rome,138.2778
601775,2,10/11/2021 15:00,91.15,United States,0.3,22,Apparel,DHL,Rome,127.61
506122,2,18/11/2021 11:00,98.34,France,0.25,23.45,Furniture,Royal Mail,Rome,147.51
394819,2,3/12/2021 08:00,61.24,Portugal,0.37,22.14,Stationery,DHL,Rome,77.1624
740102,2,5/12/2021 00:00,95.41,Italy,0.02,19.85,Accessories,FedEx,Rome,187.0036
904700,2,12/12/2021 15:00,40.33,Portugal,0.38,11.98,Accessories,DHL,Rome,50.0092
481965,2,17/12/2021 04:00,78.1,France,0.05,22.16,Apparel,Royal Mail,Rome,148.39
336109,2,9/01/2022 08:00,62.39,France,0.2,7.62,Apparel,UPS,Rome,99.824
279022,2,21/01/2022 11:00,92.65,Italy,0.32,17.15,Electronics,UPS,Rome,126.004
639677,2,23/01/2022 21:00,18.16,Australia,0.42,25.49,Stationery,FedEx,Rome,21.0656
367774,2,16/02/2022 17:00,91.78,Italy,0.18,7.78,Electronics,UPS,Rome,150.5192
633676,2,1/04/2022 18:00,74.8,United States,0.44,19.02,Accessories,UPS,Rome,83.776
511885,2,13/04/2022 05:00,69.96,Australia,0.17,8.42,Stationery,UPS,Rome,116.1336
704433,2,21/04/2022 16:00,77.75,Australia,0.15,16.91,Electronics,Royal Mail,Rome,132.175
431355,2,22/04/2022 20:00,60.17,Sweden,0.15,5.47,Electronics,FedEx,Rome,102.289
254731,2,5/05/2022 19:00,63.46,Sweden,0.24,8.73,Electronics,FedEx,Rome,96.4592
850506,2,11/05/2022 07:00,1.65,Spain,0.46,20.28,Stationery,DHL,Rome,1.782
403874,2,11/05/2022 15:00,37.24,Australia,0.31,7.44,Apparel,FedEx,Rome,51.3912
639303,2,22/05/2022 09:00,6.31,France,0.46,13.34,Furniture,FedEx,Rome,6.8148
392155,2,24/05/2022 06:00,52.58,Sweden,0.43,11.55,Furniture,Royal Mail,Rome,59.9412
166046,2,25/05/2022 17:00,54.57,Australia,0.45,16.62,Furniture,DHL,Rome,60.027
250595,2,31/05/2022 10:00,76.95,Belgium,0.31,22.23,Stationery,UPS,Rome,106.191
959050,2,13/06/2022 20:00,10.04,Sweden,0.1,27.4,Electronics,FedEx,Rome,18.072
111957,2,17/06/2022 21:00,73.92,Norway,0.3,8.63,Accessories,Royal Mail,Rome,103.488
199341,2,18/07/2022 05:00,83.99,United States,0.26,23.3,Stationery,FedEx,Rome,124.3052
903369,2,11/08/2022 14:00,5.03,Belgium,0.08,21.56,Stationery,DHL,Rome,9.2552
835193,2,14/08/2022 07:00,27.04,Italy,0.36,9.09,Electronics,Royal Mail,Rome,34.6112
813209,2,14/08/2022 18:00,91.39,Spain,0.14,29.56,Accessories,FedEx,Rome,157.1908
421059,2,15/08/2022 01:00,13.38,France,0.2,13.24,Stationery,UPS,Rome,21.408
